species,individual,PARi,Photo,Cond,Ci,Trmmol
dip_dig,2,100,1.936064248,0.021352755,243.2161801,0.334366577
dip_dig,2,200,2.33363321,0.021460835,214.1026303,0.337359064
dip_dig,2,250,2.397909069,0.022113598,214.5612192,0.349985787
dip_dig,2,300,2.430438918,0.022141592,212.5567142,0.349442543
dip_dig,2,350,2.561810761,0.021906555,201.0514633,0.344452041
dip_dig,2,400,2.544944965,0.021912517,202.3863973,0.34489251
dip_dig,2,500,2.595613822,0.021882135,198.4144871,0.347136726
dip_dig,2,600,2.601001813,0.023035111,207.5093181,0.367085964
dip_dig,2,700,2.567102937,0.0231811,211.121634,0.367212798
dip_dig,3,0,-0.612446461,0.018347056,440.4609755,0.36902246
dip_dig,3,5,0.03013352,0.019442383,385.4228287,0.376940027
dip_dig,3,10,0.498056317,0.01944681,347.274738,0.362515102
dip_dig,3,15,0.447821654,0.019278405,351.5815879,0.341274678
dip_dig,3,25,0.901498333,0.018340297,310.5391685,0.311814012
dip_dig,3,50,1.375757612,0.01882637,270.4875498,0.317689261
dip_dig,3,100,1.795844669,0.018886273,235.0889766,0.321232531
dip_dig,3,200,2.000141025,0.0183105,212.6274487,0.311872619
dip_dig,3,250,2.145435557,0.018269846,199.7659288,0.309715999
dip_dig,3,300,2.279090374,0.018385783,189.2922847,0.312034181
dip_dig,3,350,2.155773964,0.018507385,201.0873038,0.315059993
dip_dig,3,400,2.08761682,0.017956917,201.6249347,0.307202906
dip_dig,3,500,2.194976641,0.018877858,201.5711339,0.324481449
dip_dig,3,600,2.519962859,0.018390668,168.7884263,0.318385112
dip_dig,3,700,2.107884082,0.019070768,210.7331275,0.330656452
dip_dig,4,0,-1.134159749,0.027453985,455.6478881,0.496094364
dip_dig,4,5,-0.549471683,0.025945747,422.8789547,0.46322314
dip_dig,4,10,-0.587853754,0.027096311,423.6869162,0.483728838
dip_dig,4,15,-0.000596607,0.02719281,388.567059,0.488542322
dip_dig,4,25,0.458250109,0.026865948,360.9399023,0.483282976
dip_dig,4,50,1.153463772,0.025993775,316.5471391,0.471756697
dip_dig,4,100,1.900039953,0.02864668,280.728968,0.525479204
dip_dig,4,200,2.347551626,0.028382498,253.85075,0.535639644
dip_dig,4,250,2.523920389,0.027778174,240.8650202,0.533567092
dip_dig,4,300,2.611496249,0.029014805,241.0739618,0.564529573
dip_dig,4,350,2.362185869,0.030441015,260.7167011,0.604786401
dip_dig,4,400,2.495177921,0.030004471,251.6824411,0.608128154
dip_dig,4,500,2.527980858,0.030393173,251.439969,0.630676384
dip_dig,4,600,2.652534434,0.030790509,246.2637947,0.652680922
dip_dig,4,700,2.714868104,0.031495284,245.5654391,0.690853443
dip_dig,5,0,-0.536434448,0.016133152,438.426083,0.384515613
dip_dig,5,5,-0.064146496,0.016132671,391.9484702,0.382195213
dip_dig,5,10,0.081070217,0.016269983,377.7773711,0.382762151
dip_dig,5,15,0.222183338,0.016446952,364.361106,0.383689613
dip_dig,5,25,0.454839411,0.016525395,342.0822913,0.383370908
dip_dig,5,50,0.988491227,0.016396932,290.0743512,0.376901746
dip_dig,5,100,1.304236191,0.016876252,262.9478173,0.389179622
